goos: darwin
goarch: arm64
pkg: json
cpu: Apple M4 Max
                                                   │ whitespace-variants.txt │
                                                   │           B/s           │
WhitespaceVariants/array/canada.json-16                        2.403Gi ±  1%
WhitespaceVariants/array/code.json-16                          2.426Gi ±  0%
WhitespaceVariants/array/citm.json-16                          2.075Gi ± 10%
WhitespaceVariants/array/example.json-16                       2.115Gi ±  2%
WhitespaceVariants/array/twitter.json-16                       2.357Gi ±  9%
WhitespaceVariants/array/sample.json-16                        2.403Gi ±  1%
WhitespaceVariants/array_(inlined)/canada.json-16              2.413Gi ±  1%
WhitespaceVariants/array_(inlined)/code.json-16                2.413Gi ±  1%
WhitespaceVariants/array_(inlined)/citm.json-16                2.412Gi ±  2%
WhitespaceVariants/array_(inlined)/example.json-16             2.415Gi ±  1%
WhitespaceVariants/array_(inlined)/twitter.json-16             2.404Gi ±  5%
WhitespaceVariants/array_(inlined)/sample.json-16              2.415Gi ±  0%
WhitespaceVariants/check/canada.json-16                        1.211Gi ±  1%
WhitespaceVariants/check/code.json-16                          1.206Gi ±  0%
WhitespaceVariants/check/citm.json-16                          1.411Gi ±  1%
WhitespaceVariants/check/example.json-16                       1.086Gi ±  1%
WhitespaceVariants/check/twitter.json-16                       1.036Gi ±  0%
WhitespaceVariants/check/sample.json-16                        1.340Gi ±  2%
WhitespaceVariants/shift/canada.json-16                        1.295Gi ±  1%
WhitespaceVariants/shift/code.json-16                          1.298Gi ±  0%
WhitespaceVariants/shift/citm.json-16                          1.295Gi ±  0%
WhitespaceVariants/shift/example.json-16                       1.299Gi ±  2%
WhitespaceVariants/shift/twitter.json-16                       1.289Gi ±  2%
WhitespaceVariants/shift/sample.json-16                        1.297Gi ±  1%
WhitespaceVariants/shift_(inlined)/canada.json-16              1.293Gi ±  1%
WhitespaceVariants/shift_(inlined)/code.json-16                1.293Gi ±  1%
WhitespaceVariants/shift_(inlined)/citm.json-16                1.295Gi ±  1%
WhitespaceVariants/shift_(inlined)/example.json-16             1.304Gi ±  0%
WhitespaceVariants/shift_(inlined)/twitter.json-16             1.299Gi ±  2%
WhitespaceVariants/shift_(inlined)/sample.json-16              1.297Gi ±  2%
WhitespaceVariants/switch/canada.json-16                       1.205Gi ±  1%
WhitespaceVariants/switch/code.json-16                         1.630Gi ±  6%
WhitespaceVariants/switch/citm.json-16                         1.388Gi ±  5%
WhitespaceVariants/switch/example.json-16                      1.304Gi ±  5%
WhitespaceVariants/switch/twitter.json-16                      1.253Gi ±  6%
WhitespaceVariants/switch/sample.json-16                       1.205Gi ±  6%
WhitespaceVariants/if/canada.json-16                           2.387Gi ±  1%
WhitespaceVariants/if/code.json-16                             1.668Gi ± 44%
WhitespaceVariants/if/citm.json-16                             878.2Mi ± 22%
WhitespaceVariants/if/example.json-16                          1.234Gi ± 30%
WhitespaceVariants/if/twitter.json-16                          1.466Gi ±  1%
WhitespaceVariants/if/sample.json-16                           1.161Gi ±  0%
WhitespaceVariants/if_(inlined)/canada.json-16                 2.392Gi ±  0%
WhitespaceVariants/if_(inlined)/code.json-16                   2.401Gi ±  1%
WhitespaceVariants/if_(inlined)/citm.json-16                   1.204Gi ±  2%
WhitespaceVariants/if_(inlined)/example.json-16                1.397Gi ±  2%
WhitespaceVariants/if_(inlined)/twitter.json-16                1.460Gi ±  1%
WhitespaceVariants/if_(inlined)/sample.json-16                 1.166Gi ±  2%
WhitespaceVariants/constant/canada.json-16                     2.415Gi ±  0%
WhitespaceVariants/constant/code.json-16                       2.411Gi ±  1%
WhitespaceVariants/constant/citm.json-16                       2.413Gi ±  1%
WhitespaceVariants/constant/example.json-16                    2.409Gi ±  0%
WhitespaceVariants/constant/twitter.json-16                    2.417Gi ±  3%
WhitespaceVariants/constant/sample.json-16                     2.403Gi ±  0%
