goos: darwin
goarch: arm64
pkg: github.com/pkg/json
cpu: Apple M4 Max
BenchmarkDecoderNextToken/pkgjson/canada-16         	     390	   2965307 ns/op	 759.13 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     408	   2937989 ns/op	 766.19 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     410	   2926155 ns/op	 769.29 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     403	   2938222 ns/op	 766.13 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     410	   2922004 ns/op	 770.38 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     411	   2956859 ns/op	 761.30 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      45	  25179552 ns/op	  89.40 MB/s	15091363 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25268445 ns/op	  89.09 MB/s	15091211 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25357583 ns/op	  88.77 MB/s	15091213 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25226435 ns/op	  89.23 MB/s	15091238 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25224470 ns/op	  89.24 MB/s	15091224 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25360327 ns/op	  88.76 MB/s	15091229 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     920	   1295250 ns/op	1333.49 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     932	   1291590 ns/op	1337.27 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     932	   1295879 ns/op	1332.84 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     931	   1318920 ns/op	1309.56 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     934	   1289436 ns/op	1339.50 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     924	   1290764 ns/op	1338.13 MB/s	      88 B/op	       2 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     142	   8328827 ns/op	 207.38 MB/s	 5100725 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     144	   8252259 ns/op	 209.30 MB/s	 5100725 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     144	   8383999 ns/op	 206.01 MB/s	 5100733 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     142	   8289549 ns/op	 208.36 MB/s	 5100732 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     145	   8276470 ns/op	 208.69 MB/s	 5100729 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     142	   8254388 ns/op	 209.25 MB/s	 5100729 B/op	  283595 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1975	    605731 ns/op	1042.57 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1977	    605937 ns/op	1042.21 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1989	    605823 ns/op	1042.41 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1975	    615800 ns/op	1025.52 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1926	    608928 ns/op	1037.09 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/twitter-16                   	    1977	    610696 ns/op	1034.09 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     224	   5264502 ns/op	 119.96 MB/s	 3300649 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     226	   5266556 ns/op	 119.91 MB/s	 3300644 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     228	   5301836 ns/op	 119.11 MB/s	 3300644 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     225	   5328726 ns/op	 118.51 MB/s	 3300640 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     225	   5308708 ns/op	 118.96 MB/s	 3300642 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/encodingjson/twitter-16              	     224	   5354595 ns/op	 117.94 MB/s	 3300647 B/op	  161149 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     415	   2846026 ns/op	 681.82 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     421	   2975221 ns/op	 652.21 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     400	   2978579 ns/op	 651.48 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     392	   2949192 ns/op	 657.97 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     420	   2943330 ns/op	 659.28 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/pkgjson/code-16                      	     418	   2848836 ns/op	 681.15 MB/s	     200 B/op	       5 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      36	  31896846 ns/op	  60.84 MB/s	20892416 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      37	  31584197 ns/op	  61.44 MB/s	20892432 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      37	  31536007 ns/op	  61.53 MB/s	20892425 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      38	  31657010 ns/op	  61.30 MB/s	20892430 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      37	  31423810 ns/op	  61.75 MB/s	20892478 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/encodingjson/code-16                 	      37	  31489071 ns/op	  61.62 MB/s	20892476 B/op	 1152644 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   93358	     12850 ns/op	1013.50 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   93514	     12991 ns/op	1002.54 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   93666	     12854 ns/op	1013.21 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   92911	     12982 ns/op	1003.25 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   91808	     12977 ns/op	1003.65 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/example-16                   	   92492	     12957 ns/op	1005.20 MB/s	     104 B/op	       3 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    114810 ns/op	 113.44 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    115361 ns/op	 112.90 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    116806 ns/op	 111.50 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    115178 ns/op	 113.08 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    116639 ns/op	 111.66 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/encodingjson/example-16              	   10000	    116039 ns/op	 112.24 MB/s	   75408 B/op	    3716 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3303	    348969 ns/op	1970.07 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3382	    351618 ns/op	1955.22 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3478	    349174 ns/op	1968.91 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3451	    348935 ns/op	1970.26 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3420	    350494 ns/op	1961.49 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/pkgjson/sample-16                    	    3351	    346268 ns/op	1985.43 MB/s	    1096 B/op	       8 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     760	   1540732 ns/op	 446.21 MB/s	  676766 B/op	   22453 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     778	   1573991 ns/op	 436.78 MB/s	  676764 B/op	   22453 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     781	   1548191 ns/op	 444.06 MB/s	  676765 B/op	   22453 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     777	   1546236 ns/op	 444.62 MB/s	  676766 B/op	   22453 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     781	   1562832 ns/op	 439.90 MB/s	  676765 B/op	   22453 allocs/op
BenchmarkDecoderNextToken/encodingjson/sample-16               	     770	   1546037 ns/op	 444.68 MB/s	  676765 B/op	   22453 allocs/op
PASS
ok  	github.com/pkg/json	101.527s
